Channel,Time,Value
DrillBoreHole.TD,2017/06/16 13:34:07.000,1296.688897
DrillBoreHole.TDREF,2017/06/16 13:34:07.000,-999.25
DepthMonitoring.RBD,2017/06/16 13:34:07.000,1296.688897
DepthMonitoring.ACTIVITY,2017/06/16 13:34:07.000,-999.25
HoistingSystem.HKH,2017/06/16 13:34:07.000,23.31110325
HoistingSystem.HKS,2017/06/16 13:34:07.000,0
HoistingSystem.WOH,2017/06/16 13:34:07.000,61199.2
TopDrive.TRQ,2017/06/16 13:34:07.000,0
TopDrive.RPM,2017/06/16 13:34:07.000,0
StandPipeSystem.PRS,2017/06/16 13:34:07.000,-999.25
Pump_1.SPM,2017/06/16 13:34:07.000,0
DrilBHReam.ROPINS,2017/06/16 13:34:07.000,0
FlowMonitoring.PUMPFLW,2017/06/16 13:34:07.000,0
DrilBHReam.WOBC,2017/06/16 13:34:07.000,-999.25
DrilBHReam.WOBDRILLER,2017/06/16 13:34:07.000,0
DepthMonitoring.TVD,2017/06/16 13:34:07.000,-999.25
TELEPACER.GR,2017/06/16 13:34:07.000,-999.25
TELEPACER.GRR,2017/06/16 13:34:07.000,-999.25
TELEPACER.INCL_CONT,2017/06/16 13:34:07.000,-999.25
TELEPACER.AZIM_CONT,2017/06/16 13:34:07.000,-999.25
TELEPACER.CRPM,2017/06/16 13:34:07.000,-999.25
TELEPACER.STICKRATIO,2017/06/16 13:34:07.000,-999.25
TELEPACER.TEMP_DNI,2017/06/16 13:34:07.000,-999.25
Surface.RPM,2017/06/16 13:34:07.000,-999.25
Surface.TRQ,2017/06/16 13:34:07.000,-999.25
DrilBHReam.ROPONDSTEP,2017/06/16 13:34:07.000,-999.25
DrillBoreHole.TD,2017/06/16 13:34:08.000,1296.688897
DrillBoreHole.TDREF,2017/06/16 13:34:08.000,-999.25
DepthMonitoring.RBD,2017/06/16 13:34:08.000,1296.688897
DepthMonitoring.ACTIVITY,2017/06/16 13:34:08.000,-999.25
HoistingSystem.HKH,2017/06/16 13:34:08.000,23.31110325
HoistingSystem.HKS,2017/06/16 13:34:08.000,0
HoistingSystem.WOH,2017/06/16 13:34:08.000,61199.2
TopDrive.TRQ,2017/06/16 13:34:08.000,0
TopDrive.RPM,2017/06/16 13:34:08.000,0
StandPipeSystem.PRS,2017/06/16 13:34:08.000,-999.25
Pump_1.SPM,2017/06/16 13:34:08.000,0
DrilBHReam.ROPINS,2017/06/16 13:34:08.000,0
FlowMonitoring.PUMPFLW,2017/06/16 13:34:08.000,0
DrilBHReam.WOBC,2017/06/16 13:34:08.000,-999.25
DrilBHReam.WOBDRILLER,2017/06/16 13:34:08.000,0
